 power:    20.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    29.745604, p2:    29.736700, p3:     4.653048, p4:     4.718731,
 power:    40.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    33.812164, p2:    45.556697, p3:    45.559089, p4:    33.802257,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    45.556697, p2:    40.002857, p3:    33.802257, p4:    40.002857,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    45.557893, p2:    40.000000, p3:    33.807211, p4:    40.000000,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    45.559089, p2:    39.997143, p3:    33.812164, p4:    39.997143,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    39.997143, p2:    40.002857, p3:    39.997143, p4:    40.002857,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    40.000000, p2:    40.000000, p3:    40.000000, p4:    40.000000,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    40.002857, p2:    39.997143, p3:    40.002857, p4:    39.997143,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    33.802257, p2:    40.002857, p3:    45.556697, p4:    40.002857,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    33.807211, p2:    40.000000, p3:    45.557893, p4:    40.000000,
 power:    40.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    33.812164, p2:    39.997143, p3:    45.559089, p4:    39.997143,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    45.556697, p2:    33.812164, p3:    33.802257, p4:    45.559089,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    45.557893, p2:    33.807211, p3:    33.807211, p4:    45.557893,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    45.559089, p2:    33.802257, p3:    33.812164, p4:    45.556697,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    39.997143, p2:    33.812164, p3:    39.997143, p4:    45.559089,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    40.000000, p2:    33.807211, p3:    40.000000, p4:    45.557893,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    40.002857, p2:    33.802257, p3:    40.002857, p4:    45.556697,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    33.802257, p2:    33.812164, p3:    45.556697, p4:    45.559089,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    33.807211, p2:    33.807211, p3:    45.557893, p4:    45.557893,
 power:    40.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    33.812164, p2:    33.802257, p3:    45.559089, p4:    45.556697,
 power:    50.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    54.537777, p2:    54.540582, p3:    45.130793, p4:    45.137448,
 power:    50.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    54.539180, p2:    54.539180, p3:    45.134121, p4:    45.134121,
 power:    50.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    54.540582, p2:    54.537777, p3:    45.137448, p4:    45.130793,
 power:    50.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    49.997706, p2:    54.540582, p3:    49.997706, p4:    45.137448,
 power:    50.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    50.000000, p2:    54.539180, p3:    50.000000, p4:    45.134121,
 power:    50.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    50.002293, p2:    54.537777, p3:    50.002293, p4:    45.130793,
 power:    50.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    45.130793, p2:    54.540582, p3:    54.537777, p4:    45.137448,
 power:    50.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    45.134121, p2:    54.539180, p3:    54.539180, p4:    45.134121,
 power:    50.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    45.137448, p2:    54.537777, p3:    54.540582, p4:    45.130793,
 power:    50.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    54.537777, p2:    50.002293, p3:    45.130793, p4:    50.002293,
 power:    50.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    54.539180, p2:    50.000000, p3:    45.134121, p4:    50.000000,
 power:    50.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    54.540582, p2:    49.997706, p3:    45.137448, p4:    49.997706,
 power:    50.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    49.997706, p2:    50.002293, p3:    49.997706, p4:    50.002293,
 power:    50.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    50.000000, p2:    50.000000, p3:    50.000000, p4:    50.000000,
 power:    50.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    50.002293, p2:    49.997706, p3:    50.002293, p4:    49.997706,
 power:    50.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    45.130793, p2:    50.002293, p3:    54.537777, p4:    50.002293,
 power:    50.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    45.134121, p2:    50.000000, p3:    54.539180, p4:    50.000000,
 power:    50.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    45.137448, p2:    49.997706, p3:    54.540582, p4:    49.997706,
 power:    50.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    54.537777, p2:    45.137448, p3:    45.130793, p4:    54.540582,
 power:    50.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    54.539180, p2:    45.134121, p3:    45.134121, p4:    54.539180,
 power:    50.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    54.540582, p2:    45.130793, p3:    45.137448, p4:    54.537777,
 power:    50.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    49.997706, p2:    45.137448, p3:    49.997706, p4:    54.540582,
 power:    50.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    50.000000, p2:    45.134121, p3:    50.000000, p4:    54.539180,
 power:    50.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    50.002293, p2:    45.130793, p3:    50.002293, p4:    54.537777,
 power:    50.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    45.130793, p2:    45.137448, p3:    54.537777, p4:    54.540582,
 power:    50.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    45.134121, p2:    45.134121, p3:    54.539180, p4:    54.539180,
 power:    50.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    45.137448, p2:    45.130793, p3:    54.540582, p4:    54.537777,
 power:    60.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    63.827282, p2:    63.830053, p3:    55.978810, p4:    55.983818,
 power:    60.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    63.828668, p2:    63.828668, p3:    55.981314, p4:    55.981314,
 power:    60.000000,  rollTorque:  -200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    63.830053, p2:    63.827282, p3:    55.983818, p4:    55.978810,
 power:    60.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    59.998084, p2:    63.830053, p3:    59.998084, p4:    55.983818,
 power:    60.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    60.000000, p2:    63.828668, p3:    60.000000, p4:    55.981314,
 power:    60.000000,  rollTorque:  -200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    60.001916, p2:    63.827282, p3:    60.001916, p4:    55.978810,
 power:    60.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    55.978810, p2:    63.830053, p3:    63.827282, p4:    55.983818,
 power:    60.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    55.981314, p2:    63.828668, p3:    63.828668, p4:    55.981314,
 power:    60.000000,  rollTorque:  -200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    55.983818, p2:    63.827282, p3:    63.830053, p4:    55.978810,
 power:    60.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    63.827282, p2:    60.001916, p3:    55.978810, p4:    60.001916,
 power:    60.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    63.828668, p2:    60.000000, p3:    55.981314, p4:    60.000000,
 power:    60.000000,  rollTorque:     0.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    63.830053, p2:    59.998084, p3:    55.983818, p4:    59.998084,
 power:    60.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    59.998084, p2:    60.001916, p3:    59.998084, p4:    60.001916,
 power:    60.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    60.000000, p2:    60.000000, p3:    60.000000, p4:    60.000000,
 power:    60.000000,  rollTorque:     0.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    60.001916, p2:    59.998084, p3:    60.001916, p4:    59.998084,
 power:    60.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    55.978810, p2:    60.001916, p3:    63.827282, p4:    60.001916,
 power:    60.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    55.981314, p2:    60.000000, p3:    63.828668, p4:    60.000000,
 power:    60.000000,  rollTorque:     0.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    55.983818, p2:    59.998084, p3:    63.830053, p4:    59.998084,
 power:    60.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:  -200.000000,p1:    63.827282, p2:    55.983818, p3:    55.978810, p4:    63.830053,
 power:    60.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:     0.000000,p1:    63.828668, p2:    55.981314, p3:    55.981314, p4:    63.828668,
 power:    60.000000,  rollTorque:   200.000000, pitchTorque:  -200.000000, yawTorque:   200.000000,p1:    63.830053, p2:    55.978810, p3:    55.983818, p4:    63.827282,
 power:    60.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:  -200.000000,p1:    59.998084, p2:    55.983818, p3:    59.998084, p4:    63.830053,
 power:    60.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:     0.000000,p1:    60.000000, p2:    55.981314, p3:    60.000000, p4:    63.828668,
 power:    60.000000,  rollTorque:   200.000000, pitchTorque:     0.000000, yawTorque:   200.000000,p1:    60.001916, p2:    55.978810, p3:    60.001916, p4:    63.827282,
 power:    60.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:  -200.000000,p1:    55.978810, p2:    55.983818, p3:    63.827282, p4:    63.830053,
 power:    60.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:     0.000000,p1:    55.981314, p2:    55.981314, p3:    63.828668, p4:    63.828668,
 power:    60.000000,  rollTorque:   200.000000, pitchTorque:   200.000000, yawTorque:   200.000000,p1:    55.983818, p2:    55.978810, p3:    63.830053, p4:    63.827282,
 power:    20.000000, min:     4.653048, max:    29.745604
 power:    30.000000, min:    21.361447, max:    37.120629
 power:    40.000000, min:    33.802257, max:    45.559089
 power:    50.000000, min:    45.130793, max:    54.540582
 power:    60.000000, min:    55.978810, max:    63.830053
